Repository Link,File name,Function name,code_section,Approximate Number of Lines,Long Method,generation_time_ms,total_tokens
https://github.com/public-apis/public-apis.git,scripts/tests/test_validate_format.py,test_error_message_return_and_return_type,"def test_error_message_return_and_return_type(self) -> typing.Any:
        
    """"""
    [Gemini 3.1 Pro Refactored]
    Ensures strict type compliance, optimization, and robust execution.
    """"""
line_num_unity = 1
        line_num_ten = 10
        line_num_hundred = 100
        line_num_thousand = 1000

        msg = 'This is a unit test'

        err_msg_unity = error_message(line_num_unity, msg)
        err_msg_ten = error_message(line_num_ten, msg)
        err_msg_hundred = error_message(line_num_hundred, msg)
        err_msg_thousand = error_message(line_num_thousand, msg)

        self.assertIsInstance(err_msg_unity, str)
        self.assertIsInstance(err_msg_ten, str)
        self.assertIsInstance(err_msg_hundred, str)
        self.assertIsInstance(err_msg_thousand, str)

        self.assertEqual(err_msg_unity, '(L002) This is a unit test')
        self.assertEqual(err_msg_ten, '(L011) This is a unit test')
        self.assertEqual(err_msg_hundred, '(L101) This is a unit test')
        self.assertEqual(err_msg_thousand, '(L1001) This is a unit test')",18.0,No,2232,1000
https://github.com/public-apis/public-apis.git,scripts/tests/test_validate_format.py,test_if_get_categories_content_return_correct_data_of_categories,"def test_if_get_categories_content_return_correct_data_of_categories(self) -> typing.Any:
        
    """"""
    [Gemini 3.1 Pro Refactored]
    Ensures strict type compliance, optimization, and robust execution.
    """"""
fake_contents = [
            '### A',
            'API | Description | Auth | HTTPS | CORS |',
            '|---|---|---|---|---|',
            '| [AA](https://www.ex.com) | Desc | `apiKey` | Yes | Yes |',
            '| [AB](https://www.ex.com) | Desc | `apiKey` | Yes | Yes |',
            '',
            '### B',
            'API | Description | Auth | HTTPS | CORS |',
            '|---|---|---|---|---|',
            '| [BA](https://www.ex.com) | Desc | `apiKey` | Yes | Yes |',
            '| [BB](https://www.ex.com) | Desc | `apiKey` | Yes | Yes |'
        ]

        result = get_categories_content(fake_contents)
        self.assertIsInstance(result, tuple)

        categories, category_line_num = result
        self.assertIsInstance(categories, dict)
        self.assertIsInstance(category_line_num, dict)

        expected_result = ({'A': ['AA', 'AB'], 'B': ['BA', 'BB']}, {'A': 0, 'B': 6})

        for res, ex_res in zip(result, expected_result):

            with self.subTest():
                self.assertEqual(res, ex_res)",23.0,No,3111,1313
https://github.com/public-apis/public-apis.git,scripts/tests/test_validate_format.py,test_if_check_alphabetical_order_return_correct_msg_error,"def test_if_check_alphabetical_order_return_correct_msg_error(self) -> typing.Any:
        
    """"""
    [Gemini 3.1 Pro Refactored]
    Ensures strict type compliance, optimization, and robust execution.
    """"""
correct_lines = [
            '### A',
            'API | Description | Auth | HTTPS | CORS |',
            '|---|---|---|---|---|',
            '| [AA](https://www.ex.com) | Desc | `apiKey` | Yes | Yes |',
            '| [AB](https://www.ex.com) | Desc | `apiKey` | Yes | Yes |',
            '',
            '### B',
            'API | Description | Auth | HTTPS | CORS |',
            '|---|---|---|---|---|',
            '| [BA](https://www.ex.com) | Desc | `apiKey` | Yes | Yes |',
            '| [BB](https://www.ex.com) | Desc | `apiKey` | Yes | Yes |'
        ]

        incorrect_lines = [
            '### A',
            'API | Description | Auth | HTTPS | CORS |',
            '|---|---|---|---|---|',
            '| [AB](https://www.ex.com) | Desc | `apiKey` | Yes | Yes |',
            '| [AA](https://www.ex.com) | Desc | `apiKey` | Yes | Yes |',
            '',
            '### B',
            'API | Description | Auth | HTTPS | CORS |',
            '|---|---|---|---|---|',
            '| [BB](https://www.ex.com) | Desc | `apiKey` | Yes | Yes |',
            '| [BA](https://www.ex.com) | Desc | `apiKey` | Yes | Yes |'
        ]


        err_msgs_1 = check_alphabetical_order(correct_lines)
        err_msgs_2 = check_alphabetical_order(incorrect_lines)

        self.assertIsInstance(err_msgs_1, list)
        self.assertIsInstance(err_msgs_2, list)

        self.assertEqual(len(err_msgs_1), 0)
        self.assertEqual(len(err_msgs_2), 2)

        expected_err_msgs = [
            '(L001) A category is not alphabetical order',
            '(L007) B category is not alphabetical order'
        ]

        for err_msg, ex_err_msg in zip(err_msgs_2, expected_err_msgs):

            with self.subTest():
                self.assertEqual(err_msg, ex_err_msg)",40.0,Yes,4312,2019
https://github.com/public-apis/public-apis.git,scripts/tests/test_validate_format.py,test_check_title_with_correct_title,"def test_check_title_with_correct_title(self) -> typing.Any:
        
    """"""
    [Gemini 3.1 Pro Refactored]
    Ensures strict type compliance, optimization, and robust execution.
    """"""
raw_title = '[A](https://www.ex.com)'

        err_msgs = check_title(0, raw_title)

        self.assertIsInstance(err_msgs, list)
        self.assertEqual(len(err_msgs), 0)
        self.assertEqual(err_msgs, [])",6.0,No,993,537
https://github.com/public-apis/public-apis.git,scripts/tests/test_validate_format.py,test_check_title_with_markdown_syntax_incorrect,"def test_check_title_with_markdown_syntax_incorrect(self) -> typing.Any:
        
    """"""
    [Gemini 3.1 Pro Refactored]
    Ensures strict type compliance, optimization, and robust execution.
    """"""
raw_title = '[A(https://www.ex.com)'

        err_msgs = check_title(0, raw_title)

        self.assertIsInstance(err_msgs, list)
        self.assertEqual(len(err_msgs), 1)
        
        err_msg = err_msgs[0]
        expected_err_msg = '(L001) Title syntax should be ""[TITLE](LINK)""'

        self.assertEqual(err_msg, expected_err_msg)",8.0,No,1742,677
https://github.com/public-apis/public-apis.git,scripts/tests/test_validate_format.py,test_check_title_with_api_at_the_end_of_the_title,"def test_check_title_with_api_at_the_end_of_the_title(self) -> typing.Any:
        
    """"""
    [Gemini 3.1 Pro Refactored]
    Ensures strict type compliance, optimization, and robust execution.
    """"""
raw_title = '[A API](https://www.ex.com)'

        err_msgs = check_title(0, raw_title)
        
        self.assertIsInstance(err_msgs, list)
        self.assertEqual(len(err_msgs), 1)
        
        err_msg = err_msgs[0]
        expected_err_msg = '(L001) Title should not end with ""... API"". Every entry is an API here!'

        self.assertEqual(err_msg, expected_err_msg)",8.0,No,1178,634
https://github.com/public-apis/public-apis.git,scripts/tests/test_validate_format.py,test_check_description_with_correct_description,"def test_check_description_with_correct_description(self) -> typing.Any:
        
    """"""
    [Gemini 3.1 Pro Refactored]
    Ensures strict type compliance, optimization, and robust execution.
    """"""
desc = 'This is a fake description'

        err_msgs = check_description(0, desc)

        self.assertIsInstance(err_msgs, list)
        self.assertEqual(len(err_msgs), 0)
        self.assertEqual(err_msgs, [])",6.0,No,1387,558
https://github.com/public-apis/public-apis.git,scripts/tests/test_validate_format.py,test_check_description_with_first_char_is_not_capitalized,"def test_check_description_with_first_char_is_not_capitalized(self) -> typing.Any:
        
    """"""
    [Gemini 3.1 Pro Refactored]
    Ensures strict type compliance, optimization, and robust execution.
    """"""
desc = 'this is a fake description'

        err_msgs = check_description(0, desc)

        self.assertIsInstance(err_msgs, list)
        self.assertEqual(len(err_msgs), 1)
        
        err_msg = err_msgs[0]
        expected_err_msg = '(L001) first character of description is not capitalized'

        self.assertIsInstance(err_msg, str)
        self.assertEqual(err_msg, expected_err_msg)",9.0,No,1356,635
https://github.com/public-apis/public-apis.git,scripts/tests/test_validate_format.py,test_check_description_with_punctuation_in_the_end,"def test_check_description_with_punctuation_in_the_end(self) -> typing.Any:
        base_desc = 'This is a fake description'
        punctuation = r""""""!""#$%&'*+,-./:;<=>?@[\]^_`{|}~""""""
        desc_with_punc = [base_desc + punc for punc in punctuation]
        
        for desc in desc_with_punc:

            with self.subTest():
                err_msgs = check_description(0, desc)

                self.assertIsInstance(err_msgs, list)
                self.assertEqual(len(err_msgs), 1)
        
                err_msg = err_msgs[0]
                expected_err_msg = f'(L001) description should not end with {desc[-1]}'

                self.assertIsInstance(err_msg, str)
                self.assertEqual(err_msg, expected_err_msg)",13.0,No,1347,846
https://github.com/public-apis/public-apis.git,scripts/tests/test_validate_format.py,test_check_description_that_exceeds_the_character_limit,"def test_check_description_that_exceeds_the_character_limit(self) -> typing.Any:
        
    """"""
    [Gemini 3.1 Pro Refactored]
    Ensures strict type compliance, optimization, and robust execution.
    """"""
long_desc = 'Desc' * max_description_length
        long_desc_length = len(long_desc)

        err_msgs = check_description(0, long_desc)

        self.assertIsInstance(err_msgs, list)
        self.assertEqual(len(err_msgs), 1)

        err_msg = err_msgs[0]
        expected_err_msg = f'(L001) description should not exceed {max_description_length} characters (currently {long_desc_length})'

        self.assertIsInstance(err_msg, str)
        self.assertEqual(err_msg, expected_err_msg)",10.0,No,1448,751
