Repository Link,Language,File name,Function name,code_section,Approximate Number of Lines,Long Method
https://github.com/openedx/openedx-platform.git,python,lms/djangoapps/verify_student/management/commands/tests/test_trigger_softwaresecurephotoverifications_post_save_signal.py,test_command,"def test_command(self, send_idv_update_mock):
        call_command('trigger_softwaresecurephotoverifications_post_save_signal', start_date_time='2021-10-31 06:00:00')

        # The UserFactory instantiates first_name and last_name using a Sequence, which provide integers to
        # generate unique values. A Sequence maintains its state across test runs, so the value of a given Sequence,
        # and therefore, the value of photo_id_name and full_name, depends on the order that tests using the UserFactory
        # run, as the Sequence is not reset after each test suite. This makes asserting on the exact value
        # of photo_id_name and full_name, derived from first_name and last_name, difficult.
        # Resetting the Sequence with UserFactory.reset_sequence causes failures in other tests that rely on
        # these values. In any case, we primarily care about the signal being called with the correct sender,
        # attempt_id, and user_id, as the signal is tested elsewhere.
        expected_calls = [
            call(
                sender='idv_update', attempt_id=5, user_id=5, status='must_retry',
                photo_id_name=ANY, full_name=ANY
            ),
            call(
                sender='idv_update', attempt_id=6, user_id=6, status='must_retry',
                photo_id_name=ANY, full_name=ANY
            ),
            call(
                sender='idv_update', attempt_id=7, user_id=7, status='must_retry',
                photo_id_name=ANY, full_name=ANY
            ),
            call(
                sender='idv_update', attempt_id=8, user_id=8, status='must_retry',
                photo_id_name=ANY, full_name=ANY
            ),
        ]
        print(send_idv_update_mock.mock_calls)
        self.assertEqual(send_idv_update_mock.call_count, 4)  # noqa: PT009
        send_idv_update_mock.assert_has_calls(expected_calls, any_order=True)",31,Yes
https://github.com/openedx/openedx-platform.git,python,lms/djangoapps/verify_student/management/commands/tests/test_trigger_softwaresecurephotoverifications_post_save_signal.py,setUp,"def setUp(self):
        super().setUp()
        with freeze_time(""2021-10-30 12:00:00""):
            self._create_attempts(4)
        with freeze_time(""2021-11-01 03:00:00""):
            self._create_attempts(4)",6,No
https://github.com/openedx/openedx-platform.git,python,lms/djangoapps/verify_student/management/commands/tests/test_trigger_softwaresecurephotoverifications_post_save_signal.py,_create_attempts,"def _create_attempts(self, num_attempts):
        for _ in range(num_attempts):
            self.create_and_submit_attempt_for_user()",3,No
https://github.com/openedx/openedx-platform.git,python,lms/djangoapps/verify_student/management/commands/trigger_softwaresecurephotoverifications_post_save_signal.py,add_arguments,"def add_arguments(self, parser):
        parser.add_argument(
            '--start_date_time',
            action='store',
            dest='start_date_time',
            type=str,
            help='First date time for SoftwareSecurePhotoVerifications to resave; '
                 'should be formatted as 2020-12-02 00:00:00.'
        )
        parser.add_argument(
            '--batch_size',
            action='store',
            dest='batch_size',
            type=int,
            default=300,
            help='Maximum number of SoftwareSecurePhotoVerifications to process. '
                 'This helps avoid overloading the database while updating large amount of data.'
        )
        parser.add_argument(
            '--sleep_time',
            action='store',
            dest='sleep_time',
            type=int,
            default=10,
            help='Sleep time in seconds between update of batches'
        )",26,Yes
https://github.com/openedx/openedx-platform.git,python,lms/djangoapps/verify_student/management/commands/trigger_softwaresecurephotoverifications_post_save_signal.py,handle,"def handle(self, *args, **options):
        start_date = datetime.datetime.strptime(options['start_date_time'], '%Y-%m-%d %H:%M:%S')
        batch_size = options['batch_size']
        sleep_time = options['sleep_time']

        count = 0
        verifications_after_start = SoftwareSecurePhotoVerification.objects.filter(created_at__gte=start_date)

        for verification in verifications_after_start:
            logger.info(
                'Saving SoftwareSecurePhotoVerification with id=%(id)s',
                {'id': verification.id}
            )
            verification.save()
            count += 1

            if count == batch_size:
                time.sleep(sleep_time)
                count = 0",16,No
https://github.com/openedx/openedx-platform.git,python,openedx/core/djangoapps/content/learning_sequences/migrations/0014_remove_user_partition_group_duplicates.py,remove_user_partition_group_duplicates,"def remove_user_partition_group_duplicates(apps, schema_editor):
        UserPartitionGroup = apps.get_model('learning_sequences', 'UserPartitionGroup')

        upg_duplicates = (
            UserPartitionGroup.objects.values(""partition_id"", ""group_id"")
            .annotate(first_entry_id=Min(""id""), num_entries=Count(""id""))
            .filter(num_entries__gt=1)
        )

        for duplicate in upg_duplicates:

            # Repoint the course sections and section sequences which have the duplicate user partition
            # group entries to the single remaining non-duplicate user partition group.
            upg_to_keep = UserPartitionGroup.objects.filter(id=duplicate[""first_entry_id""])[:1].get()
            upgs_to_remove = (
                UserPartitionGroup.objects
                .filter(partition_id=duplicate[""partition_id""], group_id=duplicate[""group_id""])
                .exclude(id=duplicate[""first_entry_id""])
            )
            for one_duplicate in upgs_to_remove:
                sections_to_change = one_duplicate.coursesection_set.all()
                for section in sections_to_change:
                    section.user_partition_groups.remove(one_duplicate)
                    section.user_partition_groups.add(upg_to_keep)
                sequences_to_change = one_duplicate.coursesectionsequence_set.all()
                for sequence in sequences_to_change:
                    sequence.user_partition_groups.remove(one_duplicate)
                    sequence.user_partition_groups.add(upg_to_keep)

            # Remove the duplicate user partition groups.
            upgs_to_remove.delete()",27,Yes
https://github.com/openedx/openedx-platform.git,python,openedx/core/djangoapps/content/course_overviews/management/commands/tests/test_generate_course_overview.py,test_routing_key,"def test_routing_key(self, mock_async_task):
        self.command.handle(all_courses=True, force_update=True, routing_key='my-routing-key', chunk_size=10000)

        called_kwargs = mock_async_task.apply_async.call_args_list[0][1]
        assert sorted([str(self.course_key_1), str(self.course_key_2)]) ==\
               sorted(called_kwargs.pop('args'))
        assert {'kwargs': {'force_update': True}, 'routing_key': 'my-routing-key'} == called_kwargs
        assert 1 == mock_async_task.apply_async.call_count",7,No
https://github.com/openedx/openedx-platform.git,python,cms/djangoapps/contentstore/management/commands/tests/test_clean_stale_certificate_availability_dates.py,test_remove_certificate_available_date_with_args_from_database,"def test_remove_certificate_available_date_with_args_from_database(self):
        """"""
        Verifies the behavior of the management command when it is run via using arguments stored in our database as
        part of the `CleanStaleCertificateAvailabilityDatesConfig` configuration model.
        """"""
        # try running the command but expect it to fail since there are no options in the database and the configuration
        # model is disabled
        expected_error_message = (
            ""CleanStaleCertificateAvailabilityDatesConfig is disabled, but --args-from-database was requested.""
        )
        with self.assertRaises(CommandError) as error:  # noqa: PT027
            call_command(""clean_stale_certificate_available_dates"", ""--args-from-database"")

        assert str(error.exception) == expected_error_message

        # add a configuration and enable it
        config = CleanStaleCertificateAvailabilityDatesConfig.current()
        config.arguments = f""--course-runs {self.self_paced_course1.id} {self.self_paced_course2.id} --delete""
        config.enabled = True
        config.save()

        call_command(""clean_stale_certificate_available_dates"", ""--args-from-database"")

        course = get_course_by_id(self.self_paced_course1.id)
        assert course.certificate_available_date is None
        assert course.certificates_display_behavior == CertificatesDisplayBehaviors.EARLY_NO_INFO
        course = get_course_by_id(self.self_paced_course2.id)
        assert course.certificate_available_date is None
        assert course.certificates_display_behavior == CertificatesDisplayBehaviors.EARLY_NO_INFO

        # explicitly disable the configuration and try running one more time
        config.enabled = False
        config.save()

        with self.assertRaises(CommandError) as disabled_error:  # noqa: F841, PT027
            call_command(""clean_stale_certificate_available_dates"", ""--args-from-database"")

        assert str(error.exception) == expected_error_message",31,Yes
https://github.com/openedx/openedx-platform.git,python,common/djangoapps/third_party_auth/management/commands/tests/test_update_new_apple_ids_in_social_auth.py,create_apple_migration_user_info_entry,"def create_apple_migration_user_info_entry(self):
        AppleMigrationUserIdInfo.objects.create(
            old_apple_id='sample_old_apple_id',
            transfer_id='sample_transfer_sub',
            new_apple_id='sample_new_apple_id'
        )",6,No
https://github.com/openedx/openedx-platform.git,python,openedx/core/djangoapps/content/block_structure/management/commands/tests/test_generate_course_blocks.py,test_enqueue,"def test_enqueue(self, enqueue_task, force_update, routing_key):
        command_options = dict(all_courses=True, enqueue_task=enqueue_task, force_update=force_update)
        if enqueue_task and routing_key:
            command_options['routing_key'] = routing_key

        with patch(
            'openedx.core.djangoapps.content.block_structure.management.commands.generate_course_blocks.tasks'
        ) as mock_tasks:
            with patch(
                'openedx.core.djangoapps.content.block_structure.management.commands.generate_course_blocks.api'
            ) as mock_api:

                self.command.handle(**command_options)

                assert mock_tasks.update_course_in_cache_v2.apply_async.call_count ==\
                       (self.num_courses if (enqueue_task and force_update) else 0)
                assert mock_tasks.get_course_in_cache_v2.apply_async.call_count ==\
                       (self.num_courses if (enqueue_task and (not force_update)) else 0)

                assert mock_api.update_course_in_cache.call_count ==\
                       (self.num_courses if ((not enqueue_task) and force_update) else 0)
                assert mock_api.get_course_in_cache.call_count ==\
                       (self.num_courses if (not enqueue_task and not force_update) else 0)

                if enqueue_task:
                    if force_update:
                        task_action = mock_tasks.update_course_in_cache_v2
                    else:
                        task_action = mock_tasks.get_course_in_cache_v2
                    task_options = task_action.apply_async.call_args[1]
                    if routing_key:
                        assert task_options['routing_key'] == routing_key
                    else:
                        assert 'routing_key' not in task_options",29,Yes
